date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:30:29	161455/161455	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2013:18:03%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/blue-bg.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/blue-bg.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:30:29	6727/6727	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2013:18:03%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/team-text.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/team-text.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:30:29	3188/3188	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2012:09:09%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/gplus-login.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/gplus-login.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:30:29	2944/2944	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2012:09:09%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/fb-login.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/fb-login.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:30:30	3076/3076	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2012:09:09%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/twitter-login.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/twitter-login.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:30:30	3002/3002	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2012:09:09%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/linkedin-login.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/linkedin-login.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:30:31	3227/3227	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2012:09:06%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/vertical-separator.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/vertical-separator.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:30:31	589/589	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2018%20May%202020%2013:00:30%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/horizontal-separator.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/horizontal-separator.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:30:31	562/562	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2018%20May%202020%2013:00:31%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/graph-arrow.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/graph-arrow.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:30:32	568/568	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2018%20May%202020%2013:00:31%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/orange-bullet.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/orange-bullet.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:30:32	565/565	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2018%20May%202020%2013:00:32%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/white-bullet.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/white-bullet.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
18:30:32	5948/5948	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202020%2012:31:12%20GMT	https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/pattern.png	C:/Users/Nikhil%20Kadalge/Documents/Startup_Mentor/Startup_Mentor/www.startupindia.gov.in/etc/designs/invest-india/investindialibs/images/pattern.png	(from https://www.startupindia.gov.in/etc/designs/invest-india/investindialibs.min.fe450d89ff6ed6e7f72078a6ced03502.css)
